dateTime,experimentName,duration,braitType,braitDynamic,dcRpmInit,dcRpmMax,dcAlpha,dcK,dcKN,dcKI,dcKD,antennaType,antennaInitSpeed,snsBaselineLeft,snsBaselineRight,snsSensorLeftID,snsSensorRightID,snsSensorLoops,snsStorageSize,sensorSigMax,snsThreshold,snsAbsence,snsThresholdRange,snsInstantRange,snsDynamicRange,snsFilterType,snsFilterCutoff
2023-05-02 12:31:59,updateB_simple_p0_i0,45.60177361899997,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:37:01,updateC_simple_p0_i0,4.842069797000022,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:41:41,updateD_simple_p0_i0,39.18416336899986,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:43:00,updateD_simple_p8_i0,32.53944936100015,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:44:01,updateD_simple_p1_i0,30.33436179599994,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:45:15,updateD_simple_p7_i0,35.25082697700009,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:46:57,updateD_simple_p2_i0,33.400260951000064,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:52:43,updateD_simple_p6_i0,31.59340955200014,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,1500,150,10,5,5,20,2,0.1
2023-05-02 12:54:54,updateE_simple_p0_i0,34.06091875600009,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,4000,500,10,5,5,20,2,0.1
2023-05-02 12:56:07,updateE_simple_p8_i0,41.821615528000166,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,4000,500,10,5,5,20,2,0.1
