timeStamp,robotRealCenCoords,robotHeading
0.0,"(717.8328592590988, -282.3360402584076)",-91.29284803133486
0.0,"(717.5627367645502, -282.45087015628815)",-91.36448305534995
0.0,"(717.907379258424, -282.3787441253662)",-91.14942088895376
0.0,"(718.170303542167, -282.30842995643616)",-91.15519922899159
0.0,"(717.3296310864389, -282.4092708826065)",-91.35979071539016
0.0,"(717.7436156980693, -282.35726368427277)",-91.3112212402022
0.0,"(717.8781435973942, -282.1568515300751)",-91.15311602129474
0.0,"(717.8113850466907, -282.48465526103973)",-91.29895422045286
0.0,"(718.2246403023601, -282.2605918645859)",-91.05487741046245
0.0,"(717.0395136214793, -282.6169031858444)",-91.56163646574237
0.0,"(718.0983217917383, -282.32305431365967)",-91.18823685400695
0.0,"(717.9725483767688, -282.3763198852539)",-91.19489628844771
0.0,"(717.6359132193029, -282.478462934494)",-91.27921497375152
0.0,"(717.9070871658623, -282.44587898254395)",-91.30745097578034
0.0,"(717.6993430256844, -282.14352667331696)",-91.17580590971752
0.0,"(717.910709079355, -282.4540704488754)",-91.21618598809064
0.0,"(717.2113136835396, -282.4512047767639)",-91.48313027142224
0.0,"(717.6990636214614, -282.3859478235245)",-91.35064509209151
0.0,"(717.7687682434916, -282.4461989402771)",-91.27295852047179
0.0,"(718.6126955263317, -282.2924847602844)",-91.026416012191
0.0,"(718.0026659481227, -282.4334639310837)",-91.22183455453424
0.0,"(717.0899619422853, -282.6352323293686)",-91.53674042621768
0.0,"(717.2320823743939, -282.39090287685394)",-91.33874007236818
0.0,"(717.4948302656412, -282.45304822921753)",-91.419363625331
0.0,"(717.6451853476465, -282.50446164608)",-91.27513735081702
0.0,"(717.5297561436892, -282.4365656375885)",-91.34554977097068
0.0,"(717.9223063513637, -282.3727114200592)",-91.25401157571417
0.0,"(718.1223829984665, -282.3282985687256)",-91.1922325146714
0.0,"(717.7236400172114, -282.3749611377716)",-91.21199908212942
0.0,"(717.8206497579813, -282.41307377815247)",-91.2476731601644
0.0,"(717.561857316643, -282.46880555152893)",-91.343152374572
0.0,"(717.7979979030788, -282.37682819366455)",-91.29185082371603
0.0,"(718.2282659336925, -282.2535322904587)",-91.18025919305637
0.0,"(717.837319727987, -282.3803985118866)",-91.30357142833178
0.0,"(718.311603885144, -282.32037603855133)",-91.13251617075798
0.0,"(717.9530807957053, -282.3632861375809)",-91.21576251636209
0.0,"(717.7897425033152, -282.33400988578796)",-91.24199727296411
